연번,광역자치단체명,기초자치단체명,축제명,축제 유형,시작일,종료일
979,전북,고창군,하전바지락 오감체험 페스티벌,지역특산물-먹거리·로컬장터,2025-05-03,2025-05-05
980,전북,고창군,고창갯벌축제,자연생태-산·숲·생태,2025-06-13,2025-06-15
981,전북,고창군,제22회 고창 복분자와 수박축제,지역특산물-농산물·과일·채소,2025-06-20,2025-06-22
982,전북,고창군,제29회 고창해풍고추축제,지역특산물-농산물·과일·채소,2025-08-22,2025-08-24
983,전북,고창군,제52회 고창모양성제,전통역사-전통·민속,2025-10-29,2025-11-02
985,전북,부안군,제12회 부안마실축제,문화예술-음악·공연,2025-05-02,2025-05-05
992,충북,-,제15회 반딧불 곤충 축제,자연생태-곤충·반딧불,2025-06-13,2025-06-15
994,충북,-,2025제천국제한방천연물산업엑스포,문화예술-음악·공연,2025-09-20,2025-10-19
995,충북,"본청, 제천시",2025 친환경에너지 페스티벌,문화예술-음악·공연,2025-09-26,2025-09-28
996,충북,"본청, 영동군",2025영동세계국악엑스포,문화예술-음악·공연,2025-09-12,2025-10-11
997,충북,-,청남대 봄꽃축제 '영춘제',문화예술-음악·공연,2025-04-24,2025-05-06
998,충북,-,청남대 '가을축제',문화예술-음악·공연,2025-10-25,2025-11-09
999,충북,청주시,2025 3·3데이 청주삼겹살 축제,지역특산물-먹거리·로컬장터,2025-03-02,2025-03-03
1001,충북,청주시,2025 청주 미식·주(酒) 페스타,지역특산물-먹거리·로컬장터,2025-05-30,2025-05-31
1002,충북,청주시,2025 청주 디저트·베이커리 페스타,지역특산물-먹거리·로컬장터,2025-11-08,2025-11-09
1004,충북,청주시,힙한 청주 페스티벌 in 제조창,문화예술-음악·공연,2025-08-22,2025-08-23
1005,충북,청주시,2025 청주시 도시농업 페스티벌,문화예술-음악·공연,2025-05-02,2025-05-05
1006,충북,청주시,2025 청주 가드닝 페스티벌,자연생태-산·숲·생태,2025-05-09,2025-05-11
1007,충북,청주시,2025 청원생명축제,지역특산물-먹거리·로컬장터,2025-10-17,2025-10-26
1008,충북,제천시,2025 제천빨간오뎅축제,지역특산물-먹거리·로컬장터,2025-02-28,2025-03-03
1017,충북,제천시,제21회 제천국제음악영화제,문화예술-음악·공연,2025-09-04,2025-09-09
1018,충북,제천시,제29회 청풍호 벚꽃축제,자연생태-꽃·식물,2025-04-10,2025-04-13
1019,충북,충주시,충주호 벚꽃축제,문화예술-음악·공연,2025-03-28,2025-03-30
1021,충북,충주시,목계별신제,전통역사-전통·민속,2025-04-26,2025-04-27
1022,충북,충주시,충주다이브페스티벌,문화예술-음악·공연,2025-05-29,2025-06-01
1023,충북,충주시,제53회 우륵문화제,문화예술-음악·공연,2025-09-24,2025-09-28
1024,충북,충주시,2025년 충주씨 농산물직거래 한마당,지역특산물-먹거리·로컬장터,2025-10-24,2025-10-26
1026,충북,보은군,2025 보은벚꽃길축제,자연생태-꽃·식물,2025-04-04,2025-04-13
1029,충북,옥천군,제23회 옥천묘목축제,지역특산물-먹거리·로컬장터,2025-03-28,2025-03-30
1030,충북,옥천군,제6회 청산생선국수축제,지역특산물-먹거리·로컬장터,2025-04-05,2025-04-06
1033,충북,옥천군,2025년 제15회 옥수수감자 축제,지역특산물-농산물·과일·채소,2025-07-12,2025-07-13
1035,충북,영동군,2025 영동곶감축제,지역특산물-먹거리·로컬장터,2025-01-03,2025-01-05
1036,충북,영동군,제14회 대한민국와인축제,지역특산물-술·음료,2025-09-12,2025-10-11
1037,충북,영동군,2025 영동포도축제,지역특산물-농산물·과일·채소,2025-09-20,2025-09-28
1038,충북,영동군,제56회 영동난계국악축제,문화예술-음악·공연,2025-09-12,2025-10-11
1041,충북,진천군,제25회 농다리 축제,전통역사-전통·민속,2025-04-05,2025-06-01
1042,충북,진천군,제46회 생거진천 문화축제,문화예술-음악·공연,2025-10-03,2025-10-05
